Employee_Name,EmpID,Salary,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,IsTerminated,AttritionFlag,Age,Tenure_Years,EngagementLevel,AgeGroup,SalaryBand
"Candie, Calvin",10001,72640,Production Manager,MA,02169,08/09/1983,M,Single,US Citizen,No,White,28/01/2016,,N/A-StillEmployed,Active,Production,Janet King,2,Indeed,Exceeds,5,3,0,22/02/2019,0,14,0,0,41,9.5,High,40s,Very High
"Anderson, Linda  ",10002,57568,Production Technician I,MA,01844,22/05/1977,F,Single,US Citizen,No,White,01/09/2012,,N/A-StillEmployed,Active,Production,Amy Dunn,11,LinkedIn,Exceeds,5,5,0,01/07/2019,0,15,0,0,48,12.9,High,40s,Medium
"Billis, Helen",10003,62910,Production Technician I,MA,02031,09/01/1989,F,Married,US Citizen,No,White,07/07/2014,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Indeed,Exceeds,5,3,0,27/02/2019,0,19,0,0,36,11.1,High,30s,High
"Lynch, Lindsay",10004,47434,Production Technician I,MA,01844,14/02/1973,F,Single,US Citizen,Yes,Black,11/07/2011,14/11/2015,Another position,Voluntarily Terminated,Production,Webster Butler,39,Diversity Job Fair,Exceeds,5,4,0,02/02/2015,0,17,1,1,52,4.3,High,50s,Low
"Patronick, Lucas",10005,61620,Software Engineer,MA,01844,20/02/1979,M,Single,US Citizen,No,Black,11/07/2011,09/07/2015,Another position,Voluntarily Terminated,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Exceeds,5,5,3,16/08/2015,0,13,1,1,46,4,High,40s,Medium
"Driver, Elle",10006,74241,Area Sales Manager,CA,90007,11/08/1988,F,Single,US Citizen,No,White,01/10/2011,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Exceeds,4.77,5,0,27/01/2019,0,14,0,0,36,13.8,High,30s,Very High
"Harrison, Kara",10007,62065,Production Technician I,MA,01886,05/02/1974,F,Married,US Citizen,No,White,05/12/2014,,N/A-StillEmployed,Active,Production,Amy Dunn,11,CareerBuilder,Exceeds,4.76,4,0,15/02/2019,0,5,0,0,51,10.7,High,50s,High
"Lindsay, Leonara ",10008,51777,IT Support,CT,06070,10/05/1988,F,Single,US Citizen,Yes,Black,21/01/2011,,N/A-StillEmployed,Active,IT,Eric Dougall,6,Diversity Job Fair,Exceeds,4.64,4,5,25/01/2019,0,14,0,0,37,14.5,High,30s,Low
"Jeannite, Tayana",10009,60724,Production Technician II,MA,01821,11/06/1986,F,Divorced,US Citizen,No,Indian,07/05/2011,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,LinkedIn,Exceeds,4.6,4,0,25/02/2019,0,11,0,0,39,14.2,High,30s,Medium
"Zamora, Jennifer",10010,61620,CIO,MA,02067,30/08/1979,F,Single,US Citizen,No,White,04/10/2010,,N/A-StillEmployed,Active,IT,Janet King,2,Employee Referral,Exceeds,4.6,5,6,21/02/2019,0,16,0,0,45,14.8,High,40s,Medium
"Rivera, Haley  ",10011,46738,Production Technician I,MA,02171,01/12/1973,F,Married,US Citizen,No,Asian,28/11/2011,,N/A-StillEmployed,Active,Production,Webster Butler,39,Google Search,Exceeds,4.36,5,0,02/11/2019,0,16,0,0,51,13.7,High,50s,Low
"Barbossa, Hector",10012,92328,Data Analyst,TX,78230,07/04/1988,M,Divorced,US Citizen,No,Black,11/10/2014,,N/A-StillEmployed,Active,IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,5,25/02/2019,0,9,0,0,37,10.8,High,30s,Very High
"Torrence, Jack",10013,64397,Area Sales Manager,ND,58782,15/01/1968,M,Separated,US Citizen,No,White,01/09/2006,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Exceeds,4.1,3,0,01/04/2019,0,6,0,0,57,18.9,High,50s,High
"Veera, Abdellah ",10014,58523,Production Technician I,MA,02171,31/01/1987,M,Divorced,US Citizen,No,White,13/08/2012,02/05/2016,maternity leave - did not return,Voluntarily Terminated,Production,Kissy Sullivan,20,LinkedIn,Exceeds,4.5,5,0,02/01/2016,0,15,1,1,38,3.7,High,30s,Medium
"Foss, Jason",10015,61620,IT Director,MA,01460,07/05/1980,M,Single,US Citizen,No,Black,15/04/2011,,N/A-StillEmployed,Active,IT,Jennifer Zamora,5,Indeed,Exceeds,5,5,5,01/07/2019,0,15,0,0,45,14.3,High,40s,Medium
